PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
854,Arthrocardia sp.1 Chile,no match on blast,Arthrocardia sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,"in bag; no press; on barnacles",A91624,,mid surge on barnacle,,,,,,
855,Hapalidiaceae/Lithothamnion sp.2 Chile,match to 851 - no match on blast,Coralline Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,"in bag; no press; need DNA",A91625,,"mid, on rock",,,,,,
856,Phymatolithon sp.2 Chile,,Coralline Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,no press,A91626,,"mid, surge channel",,,,,,
857,Phymatolithon sp.2 Chile,,Coralline Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,"in bag; no press; need DNA",A91627,,"mid, surge, on barnacle ",y,,,,,
858,,messy forward,Coralline Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,"in bag; no press; need DNA",A91628,,"mid, on black turbin snail",,,,,,
859,Arthrocardia sp.1 Chile,no match on blast,Coralline Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,Valparaiso Chile,11-Apr-04,"in bag; no press; need DNA",A91629,,"mid, on black turbin snail",,,,,,
860,,psbA F PCR failedx2,Corallina sp. ,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,,A91630,,"Low, wave swept",y,,,,,
861,,psbA F PCR failedx2,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,"under Lessonia; sparse; jagged, irregular",A91631,,"Lower mid, under Lessonia",y,,,,,
862,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,under Lessonia; adjacent 863,A91632,,"Lower mid, under Lessonia",y,,,,,
863,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,under Lessonia; adjacent 862; densely branched,A91633,,"Lower mid, under Lessonia",,,,,,
864,Arthrocardia sp.2 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,,A91634,,Lower mid,y,,,,,
865,Arthrocardia sp.2 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,,A91635,,mid,y,,,,,
866,,psbA F PCR failedx2,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,,A91636,,mid tidepool,,,,,,
867,Corallina sp. 2Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,spindly morph,A91637,,high deep tidepool,,,,,,
868,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,around base of Lessonia,A91638,,"mid, base of lessonia",,,,,,
869,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,,A91639,,lower mid tidepool,,,,,,
870,Corallina sp. 2Chile,,Corallina officinalis,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco Chile, end of road",13-Apr-14,same pool; adjacent 867,A91640,,"high tidepool, deep pool",,,,,,
871,Arthrocardia sp.1 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile ",13-Apr-14,highly branched,A91641,,lower mid pool,,,,,,
872,Corallina sp.1 Chile,needs reverse,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91642,,Lower mid,,,,,,
873,Corallina sp. 2Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,spindly and sparce branches,A91643,,High shallow pool,y,,,,,
874,Arthrocardia sp.2 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91644,,Lower mid,,,,,,
875,Arthrocardia sp.2 Chile,needs reverse - no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,long axis then dense branching,A91645,,Lower mid,y,,,,,
876,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91646,,Lower mid,,,,,,
877,Arthrocardia sp.2 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91647,,Lower mid,y,,,,,
878,Arthrocardia sp.2 Chile,"messy forward, have only reverse seq - no match on blast",Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,reproductive,A91648,,Lower mid,y,,,,,
879,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,flat,A91649,,Lower mid,y,,,,,
880,Corallina sp. 2Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,red and green epiphytes,A91650,,Lower mid,,,,,,
881,Corallina sp. 4frondescens,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91651,,mid tidepool,,,,,,
882,Arthrocardia sp.2 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91652,,Lower mid,,,,,,
883,Phymatolithon sp.3 Chile,,Crust ,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,on keyhole limpet,A91653,,"Low, on keyhole limpet",y,,,,,
884,,"unknown species, needs reverse, no match on BLAST",Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,smooth bubblegum; under Lessonia; Katy iphone pic,A91654,,"under lessonia, mid",y,,,,,
885,,"messy F sequence, needs reverse",Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,vial; no press,no voucher,,Lower mid,,,,,,
886,Mesophyllum sp.1 Chile,,Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,"in bag; no press",A91655,,"Supralittoral, vertical wall",,,,,,
887,Phymatolithon sp.1 Chile,,Crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Curinanco, Chile",13-Apr-14,,A91656,,"mid, on barnacle",y,,,,,
888,,,Mastocarpus,,X (CJ),,,,,,,,,Red,"Curinanco, Chile",13-Apr-14,"",A92419,,upper mid,,,,,,
889,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile ",14-Apr-14,common,A91657,,Low surge channel,y,,,,,
890,Arthrocardia sp.1 Chile,no match on blast,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,near Durvillaea; adjacent 891; very scrappy/irregular,A91658,,Lower mid surge channel,y,,,,,
891,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,near Durvillaea; adjacent 890; flat,A91659,,Lower mid surge channel,,,,,,
892,Arthrocardia sp.1 Chile,no match on blast,Arthrocardia sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,,A91660,,Low surge ,y,,,,,
893,Corallina sp.1 Chile,reverse PCR failed,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,side by side in 893 (pic),A91661,,Low surge,y,,,,,
894,Arthrocardia sp.2 Chile,needs reverse- no match on blast,Arthrocardia sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,"jagged, irregular",A91662,,Low exposed,y,,,,,
895,Corallina sp. 2Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,officinalis?,A91663,,Lower mid,,,,,,
896,Arthrocardia sp.1 Chile,needs reverse - no match on blast,Arthrocardia sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,,A91664,,Lower mid,y,,,,,
897,Arthrocardia sp.1 Chile,no match on blast,Arthrocardia sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,,A91665,,Lower mid,y,,,,,
898,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,wormy,A91666,,Lower mid,,,,,,
899,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,same as 898?,A91667,,Lower mid,y,,,,,
900,Spongites sp.2 Chile,,Lithothamnion sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,on flat bench; turf; meg. pic.; DNA in tube,A91668,,mid,,,,,,
901,Phymatolithon repandum/Mesophyllum erubescens,,Coralline crust ,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,on rock; needs DNA sub.,A91669,,subtidal 15ft,,,,,,
902,Hapalidiaceae/Lithothamnion sp.1 Chile,no match on blast,Coralline crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,prolific; need DNA sub.,A91670,,subtidal 15ft,,,,,,
903,,"unknown, forward seq messy, have only rev",Coralline crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,prolific,A91671,,subtidal 25ft,,,,,,
904,,psbA F PCR failedx2,Coralline crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,"Bonifacio, Chile",14-Apr-14,on 903; vouch in vial,no voucher,,subtidal 25ft on 903,,,,,,
905,Corallina sp. 2Chile,,Corallina officinalis,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,South end of Mar Brava ,16-Apr-14,,A91672,,mid intertidal pool on rock,,,,,,
906,Spongites sp.1 Chile,needs reverse,Coralline crust ,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,South end of Mar Brava,16-Apr-14,surrounded by sand,A91673,,"upper/mid pool, under lip, on rock",y,,,,,
907,Spongites sp.1 Chile,reverse psba failed,Coralline crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,South end of Mar Brava,16-Apr-14,reproductive; white margin; smooth,A91674,,"upper, small pool, on rock",,,,,,
908,Spongites sp.5 Chile,reverse psba failed,Coralline crust,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,South end of Mar Brava,16-Apr-14,base of cave; exposed; in mud wall (vertical),A91675,,"low intertidal, on rock",y,,,,,
909,,,Trentepohlia sp.,,X (CJ),,,,,,,,,,South end of Mar Brava,16-Apr-14,on same rock island as 908; above; rock face cave,A92420,,"supralittoral, on cliff face",,,,,,
910,Corallina sp.1 Chile,,Corallina sp.,,X (CJ),,14xi14 (CJ),,,,,,,Coralline,South end of Mar Brava,16-Apr-14,N. vancouveriensis,A91676,,drift,y,,,,,
911,,"psbA F failed",Arthrocardia sp.,,X (CJ),,,,,,,,,Coralline,South end of Mar Brava,16-Apr-14,reproductive?,A91677,,drift,y,,,,,
912,Corallina sp. 2Chile,needs reverse,Corallina sp,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile ",16-Apr-14,dominant turf,A91678,,mid intertidal pool on rock,y,,,,,
913,Corallina sp. 2Chile,needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,same as 912?; living side by side,A91679,,mid intertidal pool on rock,,,,,,
914,,"psbA F failed",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,thin; white margin,A91680,,mid on rock,y,,,,,
915,Corallina sp. 2Chile,needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,"fine and delicate",A91681,,high tidepool on rock,y,,,,,
916,Corallina sp. 2Chile,needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,more robust,A91682,,mid pool on rock,y,,,,,
917,Corallina sp. 2Chile,needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,"turf; dominant",A91918,,"turf, exposed. lower mid on rock",,,,,,
918,Spongites Sp.1 Chile,needs reverse,Coralline crust ,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,,A91919,,"lower mid, on pebble",,,,,,
919,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,same as 918?,A91920,,lower mid on pebble,,,,,,
920,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on rock scallop shell; tiny conceptacles,A91921,,lower mid on pebble,,,,,,
921,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on rock scallop; bumpy; tiny conceptacles,A91922,,lower mid,,,,,,
922,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on pebble; 3 individuals; ridged,A91923,,lower mid,,,,,,
923,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on rock scallop,A91924,,mid low intertidal,y,,,,,
924,,"psbA F failed",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on rock scallop; smooth pink; need DNA,A91925,,mid low intertidal,,,,,,
925,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Britt's Beach, Ancud Chile",16-Apr-14,on rock scallop; white margin; big conceptacles,A91926,,mid low intertidal,,,,,,
926,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,reproductive; all one plant; worms,A91927,,"mid intertidal, pool",y,,,,,
927,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,reproductive; all one plant; worms,A91928,,"mid intertidal, pool",,,,,,
928,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,,A91929,,"mid intertidal, pool",,,,,,
929,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,,A91930,,"drift, on macrocystis holdfast",,,,,,
930,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,on Durviella holdfast; epiphytes,A91931,,drift wood,y,,,,,
931,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,one frond (reproductive?),A91932,,"drift, on macrocystis holdfast",y,,,,,
932,,"psbA F failed",Coralline crust ,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,on regular shell; reproductive?,A91933,,"intertidal, mid",y,,,,,
933,,"psbA F failed",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,turban snail,A91934,,"intertidal, mid",,,,,,
934,Spongites Sp.1 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Cucao, Chile (South End)",17-Apr-14,on keyhole limpet,A91935,,"intertidal, mid",,,,,,
935,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava South (Dive), Chile ",18-Apr-14,,A91936,,"subtidal, 10 ft",,,,,,
936,,"psbA F failed",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Mar Brava South (Dive), Chile",18-Apr-14,on turban snail,A91937,,"subtidal, 10 ft",y,,,,,
937,Arthrocardia sp.1 Chile,needs reverse no match on blast,Corallina sp,,X (CJ),,,,,,,,,Coralline,"Mar Brava South (Dive), Chile",18-Apr-14,on turban snail,A91938,,"subtidal, 10 ft",,,,,,
938,Hapalidiaceae sp.1 Chile,needs reverse - no match on blast,Coralline crust ,,X (CJ),,,,,,,,,Coralline,"Mar Brava South (Dive), Chile",18-Apr-14,on keyhole limpet,A91939,,"subtidal, 10 ft",,,,,,
939,Bossiella chile,messy psbA R ,Bossiella sp.,,,,,,,,,,,Coralline,"Mar Brava South (Dive), Chile",18-Apr-14,on bedrock; in crevice; fuscia pink; short; dense; reproductive,A91940,,"subtidal, 10 ft",,,,,,
940,Bossiella chile,messy psbA R,Bossiella sp.,,,,,,,,,,,Coralline,"Mar Brava South (Dive), Chile",18-Apr-14,on bedrock; in crevice; fuscia pink; short; dense; reproductive,A91941,,"subtidal, 10 ft",,,,,,
941,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91942,,low intertidal,,,,,,
942,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,same as 941?,A91943,,low intertidal,y,,,,,
943,Corallina sp.1 Chile,needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,same as 941 and 942?; reproductive,A91944,,low intertidal,,,,,,
944,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91945,,low intertidal,,,,,,
945,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91946,,low intertidal,,,,,,
946,,"psbA F failed",Arthrocardia sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91947,,low intertidal,y,,,,,
947,,"messy F sequence, needs reverse",Arthrocardia sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91948,,low intertidal,,,,,,
948,Arthrocardia sp.1 Chile,needs reverse no match on blast,Arthrocardia sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South (intertidal) Chile",18-Apr-14,,A91949,,low intertidal,y,,,,,
949,,"psbA F failed",Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South Chile",18-Apr-14,,A91950,,"low intertidal, on rock",,,,,,
950,"Corallina sp.1 Chile",needs reverse,Corallina sp.,,X (CJ),,,,,,,,,Coralline,"Mar Brava, South Chile",18-Apr-14,entire sample is huge; 1/2 size of hand,A91951,,low intertidal on rock,y,,,,,
951,"Chile no match 1",needs reverse - no match on blast,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile ",19-Apr-14,on large boulders; chipped off,A91952,,"subtidal, 7ft",,,,,,
952,Chile no match 2,needs reverse - no match on blast,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,mauve crust; thicker than others,A91953,,"subtidal, 15ft",,,,,,
953,Phymatolithon repandum/Mesophyllum erubescens,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,on small cobble,A91954,,"subtidal, 15ft",,,,,,
954,Phymatolithon repandum/Mesophyllum erubescens,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,on small cobble,A91955,,"subtidal, 15ft",,,,,,
955,Phymatolithon repandum/Mesophyllum erubescens,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,on small cobble,A91956,,"subtidal, 15ft",,,,,,
956,Bossiella chile,"match to PTM939, needs reverse",Bossiella sp.,,,,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,on small cobble,A91957,,"subtidal, 15ft",,,,,,
957,Phymatolithon sp.4 Chile,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,"possibly two crusts on host; on ""Anfeltiopsis""; needs DNA",,Y,"subtidal, 15ft",,,,,,
958,Phymatolithon sp.4 Chile,none,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Bahia Pumillahue, Chile",19-Apr-14,"same as 957? growing on Ulva, ID based on morphology alone",,Y,"subtidal, 15ft",,,,,,
959,,,Callyphyllis sp.,,x (JN),6/22/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"looked like laciniata, no genetic sample left in vial, ground material reached half 0.1 mark",,Y,drift,,,,,,
960,,,Gloiocladia (Fauchea),,x (JN),6/22/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"coronate cystocarps? + central cystocarps?, left over ground material in vial, ground material reached half 0.1 mark",,Y,drift,,,,,,
961,Halopteris sp.,none - ID by Erasmo Macaya,Ropey Red Filamentous,,x (JN),6/22/2015,,,"6/29/2015, +ve",,,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"cysytocarpic? left over ground material in vial, ground material reached half 0.1 mark, PCR worked after 1:10 dilution",,Y,drift,,,,,,
962,Hymenena sp.,sequence 100% match in BOLD,Cryptopleura sp.,,x (JN),6/22/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"positive; female, no genetic sample left in vial, ground material reached half 0.1 mark",,Y,drift,,,,,,
963,,,Callophyllis sp.,,x (JN),6/22/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"apices highly dissected; frilly, no genetic sample left in vial, ground material reached half 0.1 mark",,Y,drift,,,,,,
964,Callophyllis atrosanguinea,sequence 99.74% match in BOLD,Callophyllis sp.,,x (JN),6/22/2015,,,"6/29/2015, +ve",,,,,Red,"Bahia Pumillahue, Chile",19-Apr-14,"rounded apices, no genetic sample left in vial, ground material reached half 0.1 mark, PCR worked after 1:10 dilution",,Y,drift,,,,,,
965,,,Bossiella sp.,,,,,,,,,,,Coralline,Britt's Beach,19-Apr-14,bleached,A91958,,drift,,,,,,
966,no match ,Melobesioideae - no match on blast (close to mesophyllum),Red Algae A,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,Huinay Patagonia ,02-Apr-14,no voucher,no voucher,,"Tile 41, sample 1",,,,,,
967,no match - same as 968,Melobesioideae. - no match on blast (close to mesophyllum),Red Algae A,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,Huinay Patagonia,02-Apr-14,no voucher,no voucher,,"Tile 41, sample 2",,,,,,
968,no match - same as 967,Melobesioideae - no match on blast (close to mesophyllum),Red Algae A,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,Huinay Patagonia,02-Apr-14,no voucher,no voucher,,"Tile 41, sample 3",,,,,,
969,,psbA failed,Red Algae B,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,Huinay Patagonia,02-Apr-14,no voucher,no voucher,,"Tile 41, sample 1",,,,,,
970,no match - not likely coralline - very distant,"messy psbA R, C01 failed, rbcL failed - close to Palmaria on BLAST",Red Algae B,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,Huinay Patagonia,02-Apr-14,no voucher,no voucher,,"Tile 41, sample 2",,,,,,
971,Laminaria ephemera,sequence 100% match in BOLD,Laminaria ephemera,,x (JN),6/23/2015,,,"6/25/2015, +ve",x (JN),,,,Brown,"Hakai, West Beach Boulders",12-Jun-14,"four fronds clumped (in Si gel), ground material reached half 0.1 mark, left over ground material in vial",,Y,"In drift, high intertidal transect",,,,,,
972,Bossiella frondifera,needs reverse,Bossiella sp. 5 chiloensis,,X (CJ),,,,,,,,,Coralline,"Hakai, West Beach Boulders",12-Jun-14,ventral conceptacles,A91959,,low intertidal,,,,,,
973,Lithophyllum sp.8,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, West Beach Boulders",12-Jun-14,epiphytic on Neorhodonella,A91960,,low intertidal on transect,,,,,,
974,Bossiella reptans,needs reverse,Bossiella sp. 5 chiloensis ,,X (CJ),,,,,,,,,Coralline,"Hakai, North Beach Boulders",13-Jun-14,quad 7 low,A91961,,low on rock,,,,,,
975,Corallina sp. 1 frondescens? ,"needs reverse, far out",Corallina sp. 2 frondescens,,X (CJ),,,,,,,,,Coralline,"Hakai, North Beach Boulders",13-Jun-14,quad 7 (mixed collection?),A91962,,low intertidal,,,,,,
976,unknown,needs reverse - no match on BLAST,Pseudolithophyllum muricatum,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,"""dirty"" sample; white margins; under kelp holdfast",A91963,,"low intertidal, in sand",y,,,,,
977,Bossiella sp.2 chiloensis,needs reverse,Bossiella frondifera,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,w/ kelp; triangular; white tips,A91964,,"low intertidal, in sand",,,,,,
978,Bossiella frondifera,needs reverse,Bossiella frondifera,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,w/ Codium setchellii,A91965,,"low intertidal, in sand",y,,,,,
979,,"forward psba failed",Lithothamnion phymatodeum ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,w/ worms,A91966,,"low intertidal, in sand",y,,,,,
980,Pseudolithophyllum sp. 2whidbeyense,needs reverse,Pseudolithophyllum muricatum,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91392,,"low intertidal, in sand",,,,,,
981,,"forward psba failed",Unidentified Articulated Coralline,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91967,,"low intertidal, in sand",,,,,,
982,,messy psbaF seq,Pseudolithophyllum muricatum,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91968,,"low intertidal, on bedrock",y,,,,,
